2064570406,610875638,882647585
1172385850,-921402844,-452898363
737071143,1434578813,1582389825
1375484271,1690679454,594857531
562057177,1617198686,-1163267636
364386456,-1946256208,1521945670
-1687591669,-700789176,777750106
1182992017,-1548075004,-1063439539
43896137,529340485,-396891046
816463113,208639167,-480311751
1170781424,-1821094383,233765173
-1474484950,796927490,-983190955
-177355809,304829845,237352088
1339541625,-633243677,1640406403
-1824857165,-352507244,1206617774
-1156526067,-74652114,1906331454
-1606125337,-1374997244,285931611
1434908586,-908579661,1110555179
-1411632054,-1754193818,-229084579
-20414751,-1287181207,1977561263
-733779247,-340258136,-1296264226
808182607,1115090342,-133948287
2115931688,661465101,-1783072158
-842026353,-1795673742,-1253788854
1177967587,-2044189205,-509667136
340443287,-205667017,1788213695
2087765006,-1810620835,-338422110
-1370441861,1617011345,2033643265
-1888219557,-1085951971,1289531602
1701611437,1258310876,-974029932
-2131661577,1883714878,811888661
1681230039,187370650,1096965350
2124933902,-1928494993,1577486033
-1485894357,-1039793346,-1068283008
-1778522978,1633304320,-811793541
392518459,795328539,2096511083
-750022917,1294666023,-615900364
-1597321809,1000849782,1667717811
1502143810,-1931645012,731411934
-1098322879,685498260,-1669724068
-1870114275,1680013593,-1051476900
-2093553474,-763508246,-1286694763
-484328305,-1385730546,441975498
-1998118515,-684942646,1522771662
127577393,-844494718,-931631700
-570792493,-2028434497,-1595198336
-112821330,-481122725,-197962687
-234201276,-726646918,783808477
-1413528088,-376882950,6760445
2117400952,-1977100919,262387311
-1438663595,2030928133,318656922
-332146439,327424521,-1133675096
380590741,97865342,-1577391347
-462350162,1989551784,-1448902461
-1667456534,-1862680558,-1813964864
936509744,-1343794832,-347886560
-826058436,-1192780645,235101035
1210834520,1440035914,-321016913
743992170,1714208533,1875760324
-1142730636,1583150507,1732081449
90987060,321144674,1238076161
237589955,-809099236,1502279613
2084818033,-1300880665,483013614
-129652094,121303223,1453324034
1290694528,-1374716959,219786976
-33344791,-1210712058,-815507169
-1881449237,534019530,1486095002
-527974608,293618257,2001279363
-366835797,2083939977,543193899
1366558402,1512778416,1481371137
1819535236,-1246446058,1034707426
-1877934365,-1232647276,-1553856917
-1912519626,187267434,1244145658
413558933,1170780268,1797938885
-1217294252,-1278834218,308719655
-295021960,-335204942,675813015
-865716078,-1901779149,-1705384217
252721901,1893190876,-2141770960
2100142549,2064689383,-1707358032
-404106769,898473924,-2071678918
1705992867,-737163742,-1860289031
-1794281215,-2006388045,1075023368
-2069173051,-1143473398,-283808818
-2049553418,1007444748,-834944846
770482644,679513308,-1100531090
-1938776093,-1625980719,761051345
586314543,-775310751,-1166766497
-1665603629,1094726552,1562691033
1066330170,-2141999521,1214719147
-1119260524,-2028521750,-2059967914
1175327372,-1419983802,1822754564
1280602713,-1868179617,-1561478488
-951589121,-382914620,-1377442774
-738432234,213681468,2049927034
-948513842,945919741,-2003799548
-1331560278,1437291865,-1967316281
-411328246,1865539731,-551410311
-1743573257,-1981790281,-1644360869
1949085548,-791518746,-1036924609
643606972,1112595358,-1130537973
